Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL2238228,,None,510.38,2,5.93,5k,COc1cc(OC)c(/C=C/C(=O)c2cccc(NC(=O)c3ccccc3C)c2)c(OC)c1Br,GI,'=',0,%,,,,UO_0000187,,,,,0,CHEMBL3068639,Cytotoxicity against Homo sapiens (human) Calu1 cells at 10 uM after 48 hr by propidium iodide-based fluorometric assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL3046347,1,Scientific Literature,Med Chem Res,2012,CHEMBL3308031,,,
CHEMBL53463,DOXORUBICIN,4,543.53,3,0,SD-1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,GI50,'<',10,nM,,,,UO_0000065,,,,,0,CHEMBL4256281,Cytotoxicity against human HTB-54 cells assessed as growth inhibition after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4251731,1,Scientific Literature,ACS Med Chem Lett,2018,CHEMBL3308031,,,
CHEMBL4278174,,None,774.41,None,None,11,O=C(NC(=[Se])Nc1ccc([Se][Se]c2ccc(NC(=[Se])NC(=O)c3cccs3)cc2)cc1)c1cccs1,GI50,'=',60750,nM,,,,UO_0000065,,,,,0,CHEMBL4256281,Cytotoxicity against human HTB-54 cells assessed as growth inhibition after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4251731,1,Scientific Literature,ACS Med Chem Lett,2018,CHEMBL3308031,,,
CHEMBL4281635,,None,742.27,None,None,9,O=C(NC(=[Se])Nc1ccc([Se][Se]c2ccc(NC(=[Se])NC(=O)c3ccco3)cc2)cc1)c1ccco1,GI50,'=',6350,nM,,,,UO_0000065,,,,,0,CHEMBL4256281,Cytotoxicity against human HTB-54 cells assessed as growth inhibition after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4251731,1,Scientific Literature,ACS Med Chem Lett,2018,CHEMBL3308031,,,
CHEMBL2035460,ETHASELEN,1,422.2,None,None,BBSKE,O=c1c2ccccc2[se]n1CCn1[se]c2ccccc2c1=O,GI50,'=',19700,nM,,,,UO_0000065,,,,,0,CHEMBL4273895,Antiproliferative activity against human HTB-54 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL2234292,,None,368.43,1,5.37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1956705,,None,652.7,3,6.75,31,CC(C)CC(=O)c1c(O)c(C=O)c(O)c(C(c2ccc3c(c2)Cc2ccccc2-3)c2c(O)c(C=O)c(O)c(C(=O)CC(C)C)c2O)c1O,IC50,'=',8800,nM,5.06,,,UO_0000065,,,,,0,CHEMBL1958661,Cytotoxicity against human Calu1 cells after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL888,GEMCITABINE,4,263.2,0,-1.29,Gemcitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,IC50,'=',520,nM,6.28,,,UO_0000065,,,,,0,CHEMBL1958661,Cytotoxicity against human Calu1 cells after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL213805,,None,354.45,1,5.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL477724,ISLANDICIN,None,270.24,0,1.89,8,Cc1cc(O)c2c(c1O)C(=O)c1cccc(O)c1C2=O,IC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL996208,Inhibition of human Calu1 cell proliferation assessed as [3H]thymidine incorporation after 3 days by scintillation counting,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1150850,1,Scientific Literature,J Nat Prod,2001,CHEMBL3308031,,,
CHEMBL4289173,,None,332.22,None,None,5,COc1ccc(NC(=O)c2ccc3n[se]nc3c2)cc1,TGI,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL4273895,Antiproliferative activity against human HTB-54 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL4280871,,None,395.18,None,None,7,C[Se]c1ccc(NC(=O)c2ccc3n[se]nc3c2)cc1,LC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL4273895,Antiproliferative activity against human HTB-54 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL4289228,,None,298.2,None,None,26,O=C(NCCCCO)c1ccc2n[se]nc2c1,Activity,'=',88.9,%,,,,UO_0000187,,,,,0,CHEMBL4273903,Growth inhibition of human HTB-54 cells assessed as cell growth at 10 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL4293035,,None,395.12,None,None,21,O=C(NCc1ccc(Br)cc1)c1ccc2n[se]nc2c1,Activity,'=',69.3,%,,,,UO_0000187,,,,,0,CHEMBL4273904,Growth inhibition of human HTB-54 cells assessed as cell growth at 100 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL406639,,None,408.26,0,3.52,4i,Cn1c(=O)c2c(c3ccccc31)OC(N)=C(C#N)C2c1cccc(Br)c1,IC50,'=',800,nM,6.1,,,UO_0000065,,,,,0,CHEMBL4256071,Antiproliferative activity against human Calu1 cells after 48 hrs by propidium iodide staining based fluorometry,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4251708,1,Scientific Literature,ACS Med Chem Lett,2018,CHEMBL3308031,,,
CHEMBL608139,,None,388.85,0,4.74,4f,COc1ccc(C(=O)/C=C/C=C(\Cl)c2ccc(OC)cc2OC)c(OC)c1,Activity,'=',24,%,,,,UO_0000187,,,,,0,CHEMBL1071635,Anticancer activity against human Calu1 cells at 10 uM after 48 hrs by propidium iodide fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1157556,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3308031,,,
CHEMBL598181,,None,363.24,1,5.38,4d,COc1ccc(C(=O)/C=C/C=C(\Cl)c2cccc(Cl)c2)c(OC)c1,Activity,'=',40,%,,,,UO_0000187,,,,,0,CHEMBL1071635,Anticancer activity against human Calu1 cells at 10 uM after 48 hrs by propidium iodide fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1157556,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3308031,,,
CHEMBL430989,,None,383.81,0,2.42,6a,CCOC(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1ccc(Cl)cc1,IC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL691297,Cytotoxicity against HTB-54 lung carcinoma cell line,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1131833,1,Scientific Literature,Bioorg Med Chem Lett,1999,CHEMBL3308031,,,
CHEMBL3327002,,None,428.48,1,5.24,6c,CCCOc1cc(O)c2c(=O)c(OCCC)c(-c3ccc(OCCC)c(O)c3)oc2c1,IC50,'>',50000,nM,,,,UO_0000065,,,,,0,CHEMBL3380571,Anticancer activity against human Calu1 cells by HTS assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL3352654,1,Scientific Literature,Bioorg Med Chem Lett,2014,CHEMBL3308031,,,
CHEMBL9323,DIHYDROKAEMPFEROL,None,288.25,0,1.48,12,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,IC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL996208,Inhibition of human Calu1 cell proliferation assessed as [3H]thymidine incorporation after 3 days by scintillation counting,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1150850,1,Scientific Literature,J Nat Prod,2001,CHEMBL3308031,,,
CHEMBL477725,VENTILOQUINONE I,None,304.3,0,2.21,14,COC1=C(O)C(=O)c2c(cc3c(c2O)C(C)OC(C)C3)C1=O,IC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL996208,Inhibition of human Calu1 cell proliferation assessed as [3H]thymidine incorporation after 3 days by scintillation counting,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1150850,1,Scientific Literature,J Nat Prod,2001,CHEMBL3308031,,,
CHEMBL451902,,None,552.49,2,5.44,1,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,Inhibition,'=',42.6,%,,,,UO_0000187,,,,,0,CHEMBL970158,Cytotoxicity against human Calu1 cells at 12.5 uM after 3 days,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1154577,1,Scientific Literature,J Nat Prod,2000,CHEMBL3308031,,,
CHEMBL448488,,None,568.53,2,5.67,3,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc5c(c4O)C(=O)C[C@H](c4ccc(O)cc4)O5)c3)oc2c1,Inhibition,'=',55.4,%,,,,UO_0000187,,,,,0,CHEMBL970156,Cytotoxicity against human Calu1 cells at 50 uM after 3 days,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1154577,1,Scientific Literature,J Nat Prod,2000,CHEMBL3308031,,,
CHEMBL453554,,None,566.52,2,5.74,2,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc5oc(-c6ccc(O)cc6)cc(=O)c5c4O)c3)oc2c1,IC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL971042,Cytotoxicity against human Calu1 cells after 3 days,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1154577,1,Scientific Literature,J Nat Prod,2000,CHEMBL3308031,,,
CHEMBL63354,AMENTOFLAVONE,None,538.46,3,5.13,6,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,IC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL971042,Cytotoxicity against human Calu1 cells after 3 days,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1154577,1,Scientific Literature,J Nat Prod,2000,CHEMBL3308031,,,
CHEMBL1956691,,None,682.85,3,8.55,15,CC(C)CC(=O)c1c(O)c(C(=O)CC(C)C)c(O)c(C(c2c(O)c(C(=O)CC(C)C)c(O)c(C(=O)CC(C)C)c2O)C2CCCCC2)c1O,GI,'=',18,%,,,,UO_0000187,,,,,0,CHEMBL1960823,Growth inhibition of human Calu1 cells at 10 uM after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL1956704,,None,565.58,3,4.58,30,CC(C)CC(=O)c1c(O)c(C=O)c(O)c(C(c2ccncc2)c2c(O)c(C=O)c(O)c(C(=O)CC(C)C)c2O)c1O,GI,'=',17,%,,,,UO_0000187,,,,,0,CHEMBL1960823,Growth inhibition of human Calu1 cells at 10 uM after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL1956705,,None,652.7,3,6.75,31,CC(C)CC(=O)c1c(O)c(C=O)c(O)c(C(c2ccc3c(c2)Cc2ccccc2-3)c2c(O)c(C=O)c(O)c(C(=O)CC(C)C)c2O)c1O,GI,'=',58,%,,,,UO_0000187,,,,,0,CHEMBL1960823,Growth inhibition of human Calu1 cells at 10 uM after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL503812,,None,236.27,0,2.31,2f,CC(C)COC(=O)/C=C/c1ccc(O)c(O)c1,IC50,'>',50000,nM,,,,UO_0000065,,,,,0,CHEMBL2091958,Cytotoxicity against human Calu1 cells after 72 hrs by alamar blue assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL2086326,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL2035657,,None,243.26,0,2.37,1,CCOC(=O)CC(=O)c1cnc2ccccc2c1,Activity,'=',23,%,,,,UO_0000187,,,,,0,CHEMBL2038774,Cytotoxicity against human Calu1 cells at 10 uM after 48 hrs by WST-1 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL2034859,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL2035665,,None,196.21,0,0.56,10,CCOC(=O)CC(=O)c1nccn1C,Activity,'=',30,%,,,,UO_0000187,,,,,0,CHEMBL2038774,Cytotoxicity against human Calu1 cells at 10 uM after 48 hrs by WST-1 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL2034859,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL2035672,,None,208.22,0,0.86,19,CCOC(=O)C(C)C(=O)c1cnccn1,Activity,'=',9.4,%,,,,UO_0000187,,,,,0,CHEMBL2039351,Cytotoxicity against human Calu1 cells at 0.3 uM after 48 hrs by WST-1 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL2034859,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL2088776,,None,428.39,0,2.61,4b,COc1cc(/C=C/C(=O)OCCCCO[N+](=O)[O-])ccc1OCCCCO[N+](=O)[O-],IC50,'>',50000,nM,,,,UO_0000065,,,,,0,CHEMBL2091958,Cytotoxicity against human Calu1 cells after 72 hrs by alamar blue assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL2086326,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL213032,,None,308.38,0,3.49,CA228,COc1cccc(C(=O)N(C)CCc2c[nH]c3ccccc23)c1,IC50,'=',139000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL871055,Antiproliferative activity against Calu1 cells,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1138971,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3308031,,,
CHEMBL213805,,None,354.45,1,5.15,CA224,CN(CCc1c[nH]c2ccccc12)C(=O)c1ccc(-c2ccccc2)cc1,Activity,,,,,,Active,,,,,,0,CHEMBL853442,Inhibition of Cdk4-mediated phosphorylation of pRB in Calu1 cells at ser 807/81 residue after 24 hrs by Western blot analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1138971,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3308031,,,
CHEMBL2093055,,None,361.15,0,-1.32,18,Nc1n[nH]c(=O)c2c1c(Br)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,'=',230,nM,6.64,,,UO_0000065,,,,,0,CHEMBL653334,Tested for in vitro cell growth inhibition of CALU-1 cells,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1127034,1,Scientific Literature,J Med Chem,1993,CHEMBL3308031,,,
CHEMBL4289647,,None,359.27,None,None,19,O=C(Nc1nc2ccccc2s1)c1ccc2n[se]nc2c1,LC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL4273895,Antiproliferative activity against human HTB-54 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL1641990,,None,450.34,0,4.67,9,CN(C)C/C=C/C(=O)Nc1ccc2c(C#N)cnc(Nc3cccc(Br)c3)c2c1,GI50,'=',19724.2,nM,,,,UO_0000065,,,,,0,CHEMBL1646579,Growth inhibition of human Calu1 cells assessed as ATP level after 96 hrs by CellTiter-Glo assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1641579,1,Scientific Literature,Bioorg Med Chem,2011,CHEMBL3308031,,,
CHEMBL451902,,None,552.49,2,5.44,1,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,Inhibition,'=',100,%,,,,UO_0000187,,,,,0,CHEMBL970155,Cytotoxicity against human Calu1 cells at 100 uM after 3 days,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1154577,1,Scientific Literature,J Nat Prod,2000,CHEMBL3308031,,,
CHEMBL63677,ROBUSTAFLAVONE,None,538.46,3,5.13,5,O=c1cc(-c2ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c2)oc2cc(O)cc(O)c12,IC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL971042,Cytotoxicity against human Calu1 cells after 3 days,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1154577,1,Scientific Literature,J Nat Prod,2000,CHEMBL3308031,,,
CHEMBL599211,,None,363.24,1,5.38,4b,COc1ccc(C(=O)/C=C/C=C(\Cl)c2ccc(Cl)cc2)c(OC)c1,Activity,'=',32,%,,,,UO_0000187,,,,,0,CHEMBL1071635,Anticancer activity against human Calu1 cells at 10 uM after 48 hrs by propidium iodide fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1157556,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3308031,,,
CHEMBL2238231,,None,496.36,1,5.62,5a,COc1cc(OC)c(/C=C/C(=O)c2cccc(NC(=O)c3ccccc3)c2)c(OC)c1Br,GI,'=',6,%,,,,UO_0000187,,,,,0,CHEMBL3068639,Cytotoxicity against Homo sapiens (human) Calu1 cells at 10 uM after 48 hr by propidium iodide-based fluorometric assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL3046347,1,Scientific Literature,Med Chem Res,2012,CHEMBL3308031,,,
CHEMBL2035660,,None,194.19,0,0.61,4,CCOC(=O)CC(=O)c1cnccn1,Activity,'=',16,%,,,,UO_0000187,,,,,0,CHEMBL2038774,Cytotoxicity against human Calu1 cells at 10 uM after 48 hrs by WST-1 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL2034859,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL2035662,,None,243.26,0,2.37,7,CCOC(=O)CC(=O)c1nccc2ccccc12,Activity,'=',30,%,,,,UO_0000187,,,,,0,CHEMBL2038774,Cytotoxicity against human Calu1 cells at 10 uM after 48 hrs by WST-1 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL2034859,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL2035672,,None,208.22,0,0.86,19,CCOC(=O)C(C)C(=O)c1cnccn1,Activity,'=',85.3,%,,,,UO_0000187,,,,,0,CHEMBL2038774,Cytotoxicity against human Calu1 cells at 10 uM after 48 hrs by WST-1 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL2034859,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL1956707,,None,604.61,4,5.93,33,CC(C)CC(=O)c1c(O)c(C=O)c(O)c(C(c2cc3ccccc3o2)c2c(O)c(C=O)c(O)c(C(=O)CC(C)C)c2O)c1O,GI,'=',2,%,,,,UO_0000187,,,,,0,CHEMBL1960823,Growth inhibition of human Calu1 cells at 10 uM after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL4447088,,None,224.22,0,-1.01,9,O=c1ccn([C@@]23C[C@@H]2C[C@@H](CO)O3)c(=O)[nH]1,Activity,,,,,,Not Active,,,,,,0,CHEMBL4332964,Antiviral activity against GFP-fused RSV infected in Calu1 cells assessed as reduction in viral infection,F,BAO_0000218,organism-based format,Rice stripe virus,None,None,None,None,,,,CHEMBL4513208,Rice stripe virus,Rice stripe virus,ORGANISM,CHEMBL4330123,1,Scientific Literature,Bioorg Med Chem Lett,2019,None,,,
CHEMBL4288763,,None,381.15,None,None,8,O=C(Nc1ccc([SeH])cc1)c1ccc2n[se]nc2c1,Activity,'=',60.1,%,,,,UO_0000187,,,,,0,CHEMBL4273903,Growth inhibition of human HTB-54 cells assessed as cell growth at 10 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL4288763,,None,381.15,None,None,8,O=C(Nc1ccc([SeH])cc1)c1ccc2n[se]nc2c1,Activity,'=',33.6,%,,,,UO_0000187,,,,,0,CHEMBL4273904,Growth inhibition of human HTB-54 cells assessed as cell growth at 100 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL4288127,,None,415.36,None,None,17,COc1ccc(CN2CCN(C(=O)c3ccc4n[se]nc4c3)CC2)cc1,Activity,'=',31.5,%,,,,UO_0000187,,,,,0,CHEMBL4273904,Growth inhibition of human HTB-54 cells assessed as cell growth at 100 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL4588538,,None,492.52,0,3.52,4,CC(=O)O[C@@H]([C@@H]1CC=CC(=O)O1)[C@H](O[C@@H](c1ccccc1)[C@@H](O)[C@@H]1CC=CC(=O)O1)c1ccccc1,IC50,'=',2200,nM,5.66,,,UO_0000065,,,,,0,CHEMBL4415241,Cytotoxicity against human Calu1 cells assessed as reduction in cell viability incubated fpr 72 hrs by celltiter-glo luminescent cell viability assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4414560,1,Scientific Literature,J Nat Prod,2019,CHEMBL3308031,,,
